name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Glover Teixeira,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_glover__teixeira_202220_rare_thumbnail.png,Rare,UFC,,22.24,29.0,6.76,"(30.4,)",,https://marketplace.draftkings.com/listings/collectibles/cf21edee1277428a80da2f17e91aef7f/editions/115
Renato Carneiro,https://marketplace.draftkings.com/_assets/collectibles/assets/a237dbbe-93c4-4629-a33e-a463c4d22203.png,Core,UFC,,0,6.5,6.5,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/13bf044d570940798265d56c3c1f038a/editions/101
Jon Jones,https://marketplace.draftkings.com/_assets/collectibles/assets/6ed55696-7a74-4b0f-a5ae-f66213b880c3.png,Rare,UFC,,28.0,34.46,6.46,"(23.07,)",,https://marketplace.draftkings.com/listings/collectibles/15307c83111f43169f4af3a69ac5833c/editions/198
Montel Jackson,https://marketplace.draftkings.com/_assets/collectibles/assets/7130b788-b61a-4c33-8798-8dc605fa330f.png,Rare,UFC,,18.0,24.46,6.46,"(35.89,)",,https://marketplace.draftkings.com/listings/collectibles/b4d379390a474f5a87e3b761c3db304c/editions/3
Paulo Costa,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_paulo__costa_202796_rare_thumbnail.png,Rare,UFC,,23.8,30.0,6.2,"(26.05,)",,https://marketplace.draftkings.com/listings/collectibles/54ab873d5e064707b7d8261f44b980f5/editions/185
Rose Namajunas,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_rose_namajunas_202566_rare_thumbnail.png,Rare,UFC,,24.0,30.0,6.0,"(25.0,)",,https://marketplace.draftkings.com/listings/collectibles/6f8234683f0348a29e0f49b4df04887e/editions/164
Carlos Ulberg,https://marketplace.draftkings.com/_assets/collectibles/assets/279d9f56-5457-4ea7-8dd1-13dff5936882.png,Rare,UFC,,23.99,29.99,6.0,"(25.01,)",,https://marketplace.draftkings.com/listings/collectibles/d13e107e3cd54c0cb67cab4460238588/editions/4
Zhang Weili,https://marketplace.draftkings.com/_assets/collectibles/assets/05cbc32f-7ae5-4b99-9375-eb720d855127.png,Rare,UFC,,50.0,55.56,5.56,"(11.12,)",,https://marketplace.draftkings.com/listings/collectibles/a8c43d2ea2924b9d81aa53a646763e62/editions/184
Alex Pereira,https://marketplace.draftkings.com/_assets/collectibles/assets/dad2a7e5-e2b2-4607-9987-eff3601f5e4c.png,Elite,UFC,,175.0,180.0,5.0,"(2.86,)",,https://marketplace.draftkings.com/listings/collectibles/61ca8d1df51d4a9aa60065f3af218818/editions/50
Kamaru Usman,https://marketplace.draftkings.com/_assets/collectibles/assets/6811dfac-7996-426b-ac83-fe31aea21e5c.png,Rare,UFC,,35.0,39.99,4.99,"(14.26,)",,https://marketplace.draftkings.com/listings/collectibles/402c66f77e5a4b69955d3745a7f7b0ee/editions/196
